"logger_id","packet_date","CH01","CH02","CH03","CH04","CH05","CH06","CH07","CH08","CH09","CH10","CH11","CH12","CH13","CH14","CH15","CH16","AlarmCh01","AlarmCh02","AlarmCh03","AlarmCh04","AlarmCh05","AlarmCh06","AlarmCh07","AlarmCh08","AlarmCh09","AlarmCh10","AlarmCh11","AlarmCh12","AlarmCh13","AlarmCh14","AlarmCh15","AlarmCh16"
1,"2025-11-24 23:00:00",-67.2,-71.5,-18.8,5,-73.7,-74.4,3.8,3.7,21.7,59,23.6,60.7,23.7,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-24 23:10:00",-67.4,-71.7,-18.3,4.8,-73.1,-72.9,4.4,4,21.3,60.2,23.6,63.7,24.4,25.9,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-24 23:20:00",-66.4,-70.2,-18.5,3.4,-73.9,-74.2,4.6,5.6,20.9,61.5,23.6,60.7,26.2,27.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-24 23:30:00",-67.9,-70.8,-19.2,4.3,-67.4,-73.7,4,4.7,21.7,59,23.6,62.5,24.2,25.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-24 23:40:00",-66.4,-70.2,-18,3.4,-73.5,-72.8,4.7,6.1,21.4,60.6,23.5,61.5,27.3,27.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-24 23:50:00",-67.6,-70.1,-19.4,4.1,-75.3,-73.3,4.5,6.9,22,58,23.6,61,23.8,25.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 00:00:00",-68.1,-69.8,-19.1,3.7,-74.5,-70.9,4.5,6.8,21.9,58.4,23.6,61.8,22.2,24.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 00:10:00",-67.6,-70.1,-18.9,3.9,-75,-72.1,4.7,6.9,21.9,58.3,23.6,61.3,23.5,25,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 00:20:00",-67.9,-71,-18,4.5,-74.9,-72.4,4.5,7,21.9,58.6,23.6,61.7,23.9,25.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 00:30:00",-67.6,-71.2,-18.5,4.6,-75,-72.8,4.6,6.8,21.9,58.5,23.6,61.4,23.9,25.2,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 00:40:00",-66,-70.2,-19.1,5.1,-75.6,-72.4,4.6,7.4,21.2,60.8,23.7,61.5,23.6,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 00:50:00",-66.3,-71.1,-19,5.4,-74.9,-72.5,4.9,6.9,21.9,58.5,23.6,61.6,23.7,25.2,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 01:00:00",-68.1,-70.8,-19.4,4.3,-75.5,-69.3,5.2,5.9,21.7,59.8,23.7,61.3,23.2,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 01:10:00",-67.5,-70.8,-18.3,5.4,-73.1,-73.8,3.8,4.4,21.4,62.1,23.6,61.7,24.4,25.8,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 01:20:00",-67.7,-71.8,-18.8,4.6,-75.6,-73.4,4.4,6.6,21.8,58.8,23.7,60.9,23.9,25.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 01:30:00",-64.8,-69.3,-19.2,4.3,-74.6,-72.4,4.3,6.9,21.6,59.6,23.7,61.4,23.1,24.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 01:40:00",-67.8,-69.5,-19,5.2,-73,-70.6,4.4,7.2,21.9,58.3,23.6,62.4,23.2,24.9,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 01:50:00",-67.6,-71,-19.4,3.8,-74.8,-74.1,4.2,6.8,21.8,58.1,23.7,60.3,23.7,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 02:00:00",-67.1,-71.7,-17.9,3.7,-73.1,-72.6,4.3,5,21.5,59.4,23.6,61.5,24,25.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 02:10:00",-65.3,-69.9,-18.9,5.1,-74.8,-72.4,4.4,6.8,21.6,59.5,23.7,61.8,22.8,24.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 02:20:00",-66.7,-69.6,-18.9,5,-74.9,-73.3,4.8,7.1,21.9,58.3,23.6,61.6,23.9,25.2,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 02:30:00",-67.9,-70.6,-19.2,5.3,-75.3,-72,4.4,6.5,22.1,57.5,23.7,61,23.6,25.2,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 02:40:00",-67.4,-70.8,-18.8,4.6,-72.5,-73.1,4.4,4.4,21.4,60.4,23.6,61.4,28.7,28.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 02:50:00",-67.3,-69.7,-19.5,4.6,-70,-75.2,4,4.9,21.7,59.4,23.6,60.4,23.9,25.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 03:00:00",-66.1,-70.3,-18.9,4.6,-75,-72.7,4.9,7.2,21.9,58.2,23.6,61.6,23.5,24.8,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 03:10:00",-66.8,-70.7,-19.5,3.5,-74.3,-73.8,4.6,5.2,21.5,59.8,23.6,60,24.6,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 03:20:00",-67.5,-70.7,-19.1,4.6,-75.4,-73,4.4,7.2,22,58,23.7,60.9,23.3,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 03:30:00",-67.9,-71.7,-18.1,5.4,-72.4,-74.8,3.8,3.8,21.4,60.2,23.6,60.5,24.6,25.9,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 03:40:00",-67.2,-69.6,-17.8,6.3,-66.6,-72.2,3.9,3.2,21.7,59.4,23.6,62.3,23.7,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 03:50:00",-66.6,-71.7,-18.8,4.6,-73.3,-73.2,4,3.3,21.7,59.1,23.6,60.8,24,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 04:00:00",-67.8,-71.2,-19.1,5.4,-75.3,-73.1,4.4,6.5,22.1,55.3,23.6,60.2,23.2,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 04:10:00",-68.2,-71.2,-19.2,4.1,-74.6,-71.5,4.6,6.8,21.9,58.2,23.6,60.9,22.7,24.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 04:20:00",-67.6,-69.7,-18.3,5.4,-63,-74.6,4,3.6,21.6,59.4,23.6,60.2,24,25.2,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 04:30:00",-67.5,-70,-19.5,4.9,-74.5,-73.4,4.2,5,21.5,59.6,23.6,60.7,23.9,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 04:40:00",-67.9,-70.7,-19,4.6,-75.3,-73,4.5,7.8,21.4,60.1,23.7,59.4,24.5,26.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 04:50:00",-67.9,-71.2,-19.1,4.2,-75.3,-72,4.4,6.9,22,58,23.6,63.3,24.1,25.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 05:00:00",-66,-69.3,-19,4.8,-75.8,-72.4,4.4,7.7,21.1,60.8,23.6,61.5,24.1,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 05:10:00",-67.7,-69.3,-19,4.6,-75.2,-72.8,4.7,7.7,21.9,58,23.7,61.3,24,25.8,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 05:20:00",-67.6,-71.3,-19.1,4.3,-74.1,-75.2,4.2,6.5,21.7,60.1,23.6,61.3,23.6,25.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 05:30:00",-66.4,-68.3,-18.8,3.5,-73.5,-73,4.4,4.1,21.4,60.3,23.6,61.6,24.4,25.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 05:40:00",-67.6,-71.3,-19.1,3.9,-74.6,-71.3,4.6,6.8,21.9,58.4,23.6,62,23.9,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 05:50:00",-68.5,-70.9,-19.2,5.3,-75,-72.7,4.6,6.7,21.9,58.4,23.6,61.1,22.5,24.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 06:00:00",-66.4,-71.5,-18.6,3.1,-73.1,-74.4,4.5,4.5,21.1,62,23.6,59.8,26.6,27.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 06:10:00",-67.1,-70.1,-19.7,3.4,-74.5,-73.6,4.8,4.5,21.5,59.5,23.7,60.1,23.9,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 06:20:00",-67.7,-71.3,-18.9,6,-74.8,-72.2,4.9,7,21.9,58.2,23.6,61.5,23.4,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 06:30:00",-67.7,-70.2,-17.6,5,-71.2,-74.2,4.2,3,21.5,59.3,23.6,59.8,24.6,25.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 06:40:00",-67.8,-69.3,-18.9,4.1,-73.6,-72.6,4.2,4.8,21.6,59.5,23.7,61.3,22.1,23.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 06:50:00",-67.3,-70.6,-17.8,5.3,-71.3,-73.7,4.1,3.7,21.7,58.6,23.6,60.6,24.1,25.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 07:00:00",-65.8,-70.7,-19.3,3,-73.1,-75.6,4.3,4.3,21.6,59.7,23.6,60.9,23.2,23.8,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 07:10:00",-67.5,-70.1,-18.8,4.2,-75.4,-72.6,4.5,6.6,21.7,59.5,23.7,61,23.9,25.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 07:20:00",-67.8,-67.2,-19.2,4.5,-75.5,-73,4.3,6.2,22,58.1,23.7,63.1,23.8,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 07:30:00",-65.9,-70.3,-19.3,3.3,-73.2,-74.8,4.2,4.1,21.2,61.3,23.6,62.2,26,26.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 07:40:00",-66.5,-67.4,-19.4,3.4,-73.9,-73.6,4.1,4.1,21.6,59.4,23.6,60.8,23.1,24.9,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 07:50:00",-66.2,-68.8,-19.4,3.8,-73.7,-72.3,3.5,4.4,21.7,59,23.6,61.2,23.9,25.2,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 08:00:00",-66.2,-70.3,-19,3.4,-75,-72.7,5.1,7.1,21.9,58.2,23.6,61.6,22.9,24.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 08:10:00",-67.2,-69.1,-18.8,4,-73.2,-71.3,4.3,4.7,21.2,60.7,23.6,61.2,26.6,27.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 08:20:00",-67.2,-69.7,-19.2,5.4,-73.5,-73.6,4,3.4,21.6,59.1,23.6,60.5,23.6,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 08:30:00",-65,-66.9,-19.5,4.1,-73.1,-75.6,4,5,21.5,59.3,23.7,60.9,20.9,21.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 08:40:00",-66.7,-70,-18.5,3.5,-73.7,-71.8,4.3,4.9,21.3,60.3,23.6,62.1,24.4,25.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 08:50:00",-67.9,-70.5,-19.1,5.3,-74.8,-71.6,4.6,7,21.9,58.4,23.6,60.6,23.5,24.9,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 09:00:00",-67.5,-71.5,-18.5,4.2,-64.7,-75.5,4.1,3,21.7,59.4,23.5,61.4,23.9,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 09:10:00",-67.9,-69.3,-19.1,4.5,-74.2,-70.9,4.6,6.9,21.9,58.5,23.6,61.8,23.2,24.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 09:20:00",-67.7,-71.7,-18.8,4.4,-75.5,-72,4.5,8.2,21.2,60.2,23.6,60.1,23.6,25.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","HighAlarm","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 09:30:00",-67.9,-70.3,-18.8,4.5,-75.4,-71.9,4.6,7.5,21.4,60.2,23.6,60.5,24,25.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 09:40:00",-67.6,-69.7,-18.3,4.9,-73.2,-73.3,4.2,4.1,21.3,60.8,23.6,61.3,23.8,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 09:50:00",-67.1,-70.1,-18.1,4.9,-71.9,-75.3,4,4.1,21.4,60.2,23.6,61,24.8,25.9,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 10:00:00",-66.9,-69.9,-19.1,5,-76,-71.9,4.4,8.1,21.5,59.8,23.6,61.5,23.3,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","HighAlarm","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 10:10:00",-67.8,-71,-19.3,3.5,-75,-72.4,4.6,6.9,21.9,58.5,23.6,61.1,22.9,24.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 10:20:00",-67.2,-70.8,-18.2,4.6,-74.9,-72.7,4.2,7.9,21.2,60.3,23.6,60.6,24.5,26.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 10:30:00",-68.5,-70.4,-18.9,5,-74.9,-73,4.5,6.9,21.8,58.4,23.6,61.4,22.7,24.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 10:40:00",-67.3,-70.6,-19.1,4.7,-74.3,-73.8,4,3.3,21.7,59.4,23.6,60.6,23.9,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 10:50:00",-67.2,-70.9,-18.8,4.1,-73.6,-72.8,5.1,7.4,21.2,60.3,23.7,61.3,26.6,27.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:00:00",-67.4,-69.8,-19.6,4.4,-73.5,-74.9,4.2,4.6,21.6,59.4,23.6,61.3,24.2,25.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:10:00",-67.1,-69.7,-18.7,4.2,-71.5,-71.5,4.2,3.7,21.6,59.6,23.6,61.5,27,26.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:20:00",-67.7,-68.6,-19.7,4.3,-74.2,-72.9,4.5,5,21.6,58.9,23.6,60.8,22.1,23.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:30:00",-67.2,-70.4,-18.1,4.6,-74.6,-72.6,4,8.2,21.3,60.5,23.6,61.7,24.4,26.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","HighAlarm","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:40:00",-67.5,-70.4,-18.8,5.6,-73.3,-74.2,4,3.8,21.7,59.4,23.6,60.1,23.9,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
